data item,class(s),nature,resolution time,aggregation(s),source,link(s),processed,require(s),job(s),team(s),rank,owner,added_by,info_further
"MW, MVAR",generation,EMS,any,unit,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
MW,generation,EMS,any,asset,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
MW,generation,EMS,current,asset,CSD,http,0_CSD,MPID,_,_,0,_,_,_
MW,generation,EMS,any,fuel,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
"MW, MVAR",generation,EMS,any,unit,SPA Dashboard,http,2_PI,substation,_,_,0,_,_,_
MW,generation,EMS,any,asset,SPA Dashboard,http,2_PI,substation,_,_,0,_,_,_
MW,generation,EMS,any,"technology*,area*,region*",SPA Dashboard,http,2_PI,_,_,_,0,_,_,_
"MW, MVAR",generation,metering,hourly,asset,"Oracle, EDWP","PLSQL,OLEDB / ODBC",1_meter,MPID,_,_,0,_,_,_
"MW, MVAR",generation,metering,hourly,asset,SPA Dashboard,http,2_meter,MPID,_,_,0,_,_,_
"MW, MVAR",generation,metering,hourly,"technology*,area*,region*",SPA Dashboard,http,2_meter,_,_,_,0,_,_,_
MW,generation,metering,hourly,asset,GR-Dashboard,http,2_meter,MPID,_,_,0,_,_,_
MW,generation,metering,hourly,"technology*,area*,region*",GR-Dashboard,http,2_meter,_,_,_,0,_,_,_
"MW, MVAR",generation,metering,15 minute,asset,"Oracle, TASP","PLSQL,OLEDB / ODBC",1_meter,MPID,_,_,0,_,_,_
"MW, MVAR",load,EMS,any,substation,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
"MW, MVAR",load,EMS,any,substation,PI,OLEDB / ODBC,0_PI,pi-tag,_,_,0,_,_,_
MW,load,EMS,any,area,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
MW,load,EMS,any,AIES,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
"MW, MVAR",load,EMS,any,substation,SPA Dashboard,http,2-PI,substation,_,_,0,_,_,_
MW,load,EMS,any,area,SPA Dashboard,http,2-PI,area#,_,_,0,_,_,_
MW,load,EMS,any,region*,SPA Dashboard,http,2-PI,_,_,_,0,_,_,_
MW,load,EMS,any,AIES,SPA Dashboard,http,2-PI,_,_,_,0,_,_,_
"MW, MVAR",load,metering,hourly,MPID,"Oracle, EDWP","PLSQL,OLEDB / ODBC",1_meter,SQL,_,_,0,_,_,_
"MW, MVAR",load,metering,hourly,MPID,SPA Dashboard,http,2_meter,MPID,_,_,0,_,_,_
"MW, MVAR",load,metering,hourly,"technology*,area*,region*",SPA Dashboard,http,2_meter,_,_,_,0,_,_,_
MW,load,metering,hourly,MPID,GR-Dashboard,http,2_meter,MPID,_,_,0,_,_,_
MW,load,metering,hourly,"technology*,area*,region*",GR-Dashboard,http,2_meter,_,_,_,0,_,_,_
"MW, MVAR",load,metering,15 minute,MPID,"Oracle, TASP","PLSQL,OLEDB / ODBC",1_meter,SQL,_,_,0,_,_,_
status,generation,EMS,any,unit,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0-PI,pi-tag,outage_gen,"grid_analytics,outage_coordination",0,_,_,_
status,generation,EMS,any,unit,SPA Dashboard,http,2_PI,"substation,unit",outage_gen,"grid_analytics,outage_coordination",0,_,_,_
"MVA, MW,  MVAr",transmission,EMS,any,branch,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,utilization_tx,grid_analytics,0,_,_,_
"MVA, MW,  MVAr",transmission,EMS,any,cut-plane,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0_PI,pi-tag,_,_,0,_,_,_
"MVA, MW,  MVAr",transmission,EMS,any,branch,SPA Dashboard,http,2-PI,"substation,line",utilization_tx,grid_analytics,0,_,_,_
"MVA, MW,  MVAr",transmission,EMS,any,cut-plane,SPA Dashboard,http,2-PI,user defined,_,_,0,_,_,_
status,transmission,EMS,any,line-terminal,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0-PI,pi-tag,outage_tx,"grid_analytics,outage_coordination",0,_,_,_
status,transmission,EMS,any,line-terminal,SPA Dashboard,http,2_PI,"substation,line",outage_tx,"grid_analytics,outage_coordination",0,_,_,_
rating,transmission,EMS,any,line-terminal,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0-PI,pi-tag,"outage_tx,utilization_tx","grid_analytics,outage_coordination",0,_,_,_
rating,transmission,EMS,any,line-terminal,SPA Dashboard,http,2_PI,"substation,line","outage_tx,utilization_tx","grid_analytics,outage_coordination",0,_,_,_
rating,transmission,TFO,any,branch,DFS folders,files,0_DFS,_,"outage_tx,utilization_tx","grid_analytics,outage_coordination",0,_,_,\\aeso.ca\dfs\Technical\te\20\45\
MC,generation,market,any,asset,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0-PI,pi-tag,_,_,0,_,_,_
MC,generation,market,current,asset,CSD,http,0-CSD,MPID,_,_,0,_,_,_
