#,年,月,期,标题,栏目,栏目e,行业,作者,内容
0,Y2019,M01,#451,继往开来，勇担使命，建设新时代全球一流银行—— 改革开放40周年中国银行发展回顾与展望,时评,Review,--,陈四清,"建设新时代全球
—— 改革开放 40 周年
◎陈四清
40年栉风沐雨，40年砥砺前行，中国银行在
改革中发展，在开放中成长，从一家外汇外贸专业
银行逐渐发展为全球化、综合化经营特色突出，业
务规模、盈利能力和品牌价值位居世界前列的大型
商业银行。中国银行的成长是中国银行业改革发展
的一个缩影。回顾历史，我们深感成绩来之不易
把握未来，在新时代改革开放大潮之下，中国银行
将永葆初心，勇担使命，不断书写发展新篇章。
40 年发展成就斐然
改革开放以来，在历代中行人的不懈奋斗下
中国银行牢牢抓住国家经济快速增长的历史机遇
取得了翻天覆地的成就。
稳妥扎实深化改革，体制改革实现跨越式突破
沐浴着改革开放的春风，中国银行奏响了改革发展
的新乐章。1979年，中国银行从中国人民银行分设
出来，作为外汇专业银行，统一经营国家外汇业务
1986年，根据国家提出的国有专业银行企业化改革
要求，中国银行转型为外汇外贸专业银行；1994年 ..."
1,Y2019,M01,#451,世界经济发展的机遇与挑战,中国国际金融学会年会专栏 ( 下 ),Special Column,--,河合正弘,"◎河合正弘
在过去的二十年中，特别是2008年全球金融
危机后，新兴市场国家在全球经济增长中贡献巨大
一直是推动全球经济发展的原动力。中国作为新兴
经济体中的核心国家，在全球经济发展中发挥着重
要的作用。在全球经济不断增长的大背景下，中、美
日大国之间的关系已成为影响世界经济发展的重要
的因素。
一、中美关系受到贸易战影响，需要
进行对话协商
贸易战已成为中国面临的重大课题，但中美关
系的修复仍有可能。中国已经融入到全球供应链体
系当中，美国无法彻底把中国从经济中分离出去
美国、欧洲、日本等国家和地区的很多企业已进驻
中国，各国消费者都需要中国的产品，且日益扩大
的中国市场极具魅力。贸易战会给中美双方，甚至
全球经济带来负面影响。
随着贸易战呈现规模扩大化、持续时间长期化
的趋势，其给全球经济增长的影响将越来越大。出
口企业可以把在中国的生产工厂转移到其他新兴国
家，再出口到美国。但产业转移需要花费大量时间
中国蒙受的潜在损失也将很大。中美两国可以寻找
其他的进出口对象国，其结果是，很多国家将扩大
对中国和美国的出口，或以低廉的价格进口中美两 ..."
2,Y2019,M01,#451,金融业在“一带一路”发展中的使命,中国国际金融学会年会专栏 ( 下 ),Special Column,--,赵雪情 刘健毓,"◎赵雪情   刘健毓
当今时代是一个特殊的变革时代，中国所面临
的国际形势是美国公然退群、关门修墙。而在国际
贸易保护主义抬头之时，中国提出的“一带一路
倡议正在引起广泛关注，同时也为全球搭建了一个
巨大的平台，对金融业提出了新任务、新使命。
张杰：红利转化和制度均衡是中国经济
增长四十年的秘方
改革开放四十年，中国经济增长奇迹令全球瞩
目，改变了很多国际主流学者原有的观点和看法
其中，弗朗西斯·福山、麦金农以及罗纳德·科斯
就是典型代表。1989年，日裔美籍学者弗朗西斯·福
山在《国家利益》上发表文章《历史的终结？》
引发广泛关注。在目睹中国连续四十年高速增长后
2011年福山出版两本专著，以中国为中心开篇，改
变了自己原有的观点。作为金融深化理论的主要创
始者，麦金农教授倡导金融自由化、利率自由化
1992年，麦金农出版了《经济市场化的次序》，而
在1993年重新修订时，其专门设立一章讨论中国
发展，将中国经济增长作为范例，提出金融控制等
命题。其中首次提出的“中国之谜”，逐渐成为全
球流行词汇。新制度经济学的重要奠基人罗纳德·科
斯，主张自由，倡导市场化，但在目睹中国经济发
展后也改变了自己的观点。此外，科斯教授还专门
研究了中国发展之路，提出了中式市场经济命题。
2018年上半年，巴菲特在接受采访时曾指出
① 本文为2018年中国国际金融学会年会“‘一带一路’发展中金融业的 ..."
3,Y2019,M01,#451,国际贸易规则调整与价值链重塑,中国国际金融学会年会专栏 ( 下 ),Special Column,--,高玉伟,"国际贸易规则调
◎高玉伟
2018年，贸易战增大了全球经济的不确定性，凸
显了经济全球化、多边主义和自由贸易体制面临的新
挑战。国际贸易规则面临调整，价值链可能重塑。在
这一背景下，中国通过举办国际进口博览会等实际行
动表明，中国仍将坚持多边主义和自由贸易规则，坚
持改革开放的坚定步伐，积极应对各种保护主义和贸
易摩擦，为促进世界经济稳定增长和走向繁荣而努力。
一、全球化进程受阻
20世纪90年代以来的全球化和以往几次全球化
的不同之处在于，出现了全球性的制度协调和规则协
调。20世纪90年代，一大批转型经济体的出现，推动
了以市场原则为基础的世界贸易组织（WTO）的成立。
受美国尊法派学者的影响，WTO的成立在国际贸易领
域形成了具有一定强制执行力的硬规则，引入了双层
争端解决机制，使得国际贸易法规具有了一定程度的
强制力，并推动本轮全球化取得了巨大进展。
WTO成立后，国际经济形势发生了三个重要变化：
一是发展中国家出现明显分化。全球化有关研究
发现,发展中国家出现了十分明显的分化：一部分向发
达国家转化；另一部分则发展停滞。对于一部分经济快
速增长的发展中国家，发达国家不愿在国际贸易中再
给予这些国家优惠待遇。
二是转型经济体未达预期。20世纪90年代，因
为一大批转型经济体的出现，WTO形成了一套以市场
规则为基础的国际贸易体制。但后来，很多转型经济
体的市场化改革未达预期，从而给国际贸易体系的运
行带来了一定挑战。 ..."
4,Y2019,M01,#451,全球货币政策的调整与未来,中国国际金融学会年会专栏 ( 下 ),Special Column,--,熊启跃,"全球货币政策的
◎熊启跃
货币政策是影响各国经济金融发展的重要因
素。2015年以来，美联储开启加息和缩表进程，货
币政策逐步向中性靠拢。美联储货币政策立场的调
整，给全球经济金融发展带来了新的机遇与挑战。
未来，全球货币政策的调整与影响值得研究与探讨。
管涛：用“三元悖论”理解中国货币政
策
“三元悖论”是指货币政策独立性、资本自由
流动和汇率稳定，三者不可兼得，至少要放弃一个
目标。为应对1997年亚洲金融危机，中国选择了
货币政策保增长、人民币贬值和资本项目管制，取
得了较好的政策效果。2018年以来，针对美联储多
次加息，人民银行采取了不同的应对策略。在2018
年年初美联储加息后，人民银行采取跟进加息策略；
但在6月和9月两次加息时，人民银行却下调了存
款准备金率。由此不难发现，我国货币调控的首要
目标是稳定经济增长，而稳定汇率和美国等大国货
币政策的变化，虽然也是考虑因素，但并不是首要
目标。
与1997年亚洲金融危机期间相比，中国经济
正经历增长动能转换。服务业和消费已成为拉动中
国经济增长的重要引擎。尽管我国目前经济面临下
行压力，但就业情况整体良好。这和经济结构调整
密切相关。2008—2017年，中国第一产业转移9000
多万就业人口，第二产业吸收6000多万就业人口， ..."
5,Y2019,M01,#451,交易对手信用风险新标准法（SA-CCR）：方法、比较和影响                                                                         ,银行家论坛,Banker's Forum,--,张晨 李晖 吴爽 黄朔,"Banker's Forum 
交易对手信用风
（SA-CCR）：方法
◎张晨  李晖  吴爽  黄朔
摘要：银保监会2018年发布《衍生工具交易对
手违约风险资产计量规则》，并自2019年1月1日
起实施，取代现行的现额暴露法（CEM）。该规则
借鉴巴塞尔委员会发布的交易对手信用风险新标准
法（SA-CCR），成为新的规范性违约风险暴露计量
方法。正确计量交易对手信用风险违约风险暴露，
是管理交易对手信用风险和计量相应资本要求的关
键前提。本文概述了交易对手信用风险新标准法的
主要内容并进行了简要评价，同时通过与现行的现
额暴露法（CEM）进行原理比较和测算对比，分析
其对银行相关业务的影响。
关键词：交易对手信用风险；违约风险暴露；交
易对手信用风险新标准法
一、交易对手信用风险的特点
交易对手信用风险（Counterparty Credit Risk, 
CCR）指衍生交易、证券融资等产品在最终结算交易
现金流前，交易对手违约导致的风险。如最终结算交
易现金流前，交易一方的头寸估值盈利（即正的未实
现损益、浮盈），则交易对手违约会使其遭受损失。
与传统信贷业务信用风险相比，交易对手信用
风险存在以下特点：一是风险不仅取决于交易对手
信用状况，同时取决于市场价格（即市场风险因子） ..."
6,Y2019,M01,#451,基于财务造假识别模型的公司授信风险预警研究及应用                          ,银行业经营管理,Banking Management,--,中国银行湖南省分行青年智库审计预警项目组,"Banking Management 
基于财务造假识
公司授信风险预
◎中国银行湖南省分行青年智库审计预警项目
摘要：为更好地发挥新形势下银行公司授信业
务内部审计的作用，本文基于财务造假企业的基本
特征，建立了横纵维度的财务指标综合体系，构建
了包括基础数据模块、横向指标体系模块和纵向指
标体系模块的分行业财务造假综合评分模型，以期
能对有财务造假嫌疑的企业提前预警。该模型兼具
识别、分析和初步揭示造假企业的综合优势，为银
行公司授信业务内部审计从传统的贷前贷中贷后合
规性审计向合规性审计与风险预警并重的方向转型
提供了新路径。
关键词：财务造假识别模型；内部审计；公司授
信风险预警
引言
近年来，市场不断出现一些企业债务危机事件，
如金盾系、齐星集团、辉山乳业等。在对这些企业
的经营和财务状况做进一步分析后发现，这些企业
在债务危机爆发的很长时间以前，甚至在数年前就
已经有了端倪，但无论外部，还是内部审计，以及
相关金融机构的研究部门和风控部门，却都未能及
时地揭示风险。因此，如何在复杂的形势下，及时
发现企业经营困难以及偿债能力的下降，提前预警，
并及时采取措施保全银行授信资产的安全，具有非 ..."
7,Y2019,M01,#451,巴克莱银行“大象交易”对银行合规与风险管控问题的启示                                                                                  ,银行业经营管理,Banking Management,--,邹伟康  王暖,"Banking Management 
巴克莱银行“大
合规与风险管控
◎邹伟康   王暖
摘要：金融危机之后,各国加强了对银行合规
和风险管控方面的调查。2011年英国巴克莱银行
的“大象交易”（Elephant Deal）则是接受调查的重
大案件之一。本文以英国金融监管部门披露的调查
报告为基础，结合英国卫报等主要媒体的追踪报道，
分析、揭示了巴克莱银行在履行风险管控及合规方
面存在的问题，并进而详细分析了银行应尽的调查
义务，以期对银行风险管控工作有所启示。
关键词：巴克莱银行；尽职调查；风险管控
一、背景
“大象交易”通常是指金额巨大的金融交易，
而本文分析的巴克莱银行的“大象交易”涉及金额
更是高达18.8亿英镑。与传统的金融产品不同，该
类交易通常采用结构性金融（Structured-Finance）
交易模型进行投资，所投资的金融产品主要是为了
满足大型企业复杂而多元化的投融资需求，如担保
债务凭证、担保债券凭证、银团贷款、复合性金融
工具等。在巴克莱银行涉及的“大象交易”中，其
客户委托资产主要投资于债券和票据；客户将在未
来几十年内获得丰厚而稳定的投资收益，同时巴克
莱银行为客户提供额外的、全额本金保证。
虽然后金融危机时期各国政府及金融监管部门 ..."
8,Y2019,M01,#451,困难企业继续融资问题研究,银行业经营管理,Banking Management,--,罗欣 钱宇飞,"◎罗欣  钱宇飞
摘要：本文拟结合银行债务重组实践，从对企
业困境的风险判断入手，明确拟作为探讨对象的企
业类型，并针对其风险化解过程中继续融资面临的
问题，提出了相关的应对措施。
关键词：困难企业；融资；银行债务重组
引言
自2014年我国经济进入新常态以来，国家着
力推进供给侧结构性改革，深入开展“三去一降一
补”和“僵尸企业”出清。在新旧动能转换时期
部分经营亏损、效率低下、资产负债率较高的地方
国企、大型民营集团陆续出现债务危机。与此同时
监管日趋严格，企业整体融资环境收紧，融资成本
上升，再加上新债券难以发行、再融资受阻，部分
企业流动性压力加大，违约风险随之上升。而风险
的交叉传染，则进一步导致更多企业陷入困境。从
外部环境看，全球主要经济体经济再次分化，中美
贸易摩擦充满不确定性，美联储加息次数多于预期
新兴经济体金融市场动荡加剧，也都在一定程度上
加剧了防范化解风险的艰巨性。
在内外部复杂多变因素的影响下，近年企业负
面风险事件频发，信用债“违约潮”（2018年以来
主要为民营企业）引发市场的普遍关注。如何在清 ..."
9,Y2019,M01,#451,美联储利率及收益率曲线对银行净息差的影响及对策                                                                                         ,银行业经营管理,Banking Management,--,陆晓明,"净息差的影响及
◎陆晓明
摘要：资产负债业务及利息收入仍是全球银行
业的主要利润来源。衡量利息收入盈利状态的主要
指标是净息差（Net Interest Margin，也称净息收益率
以下简称NIM）。NIM直接受两个外部因素影响：央
行利率周期及水平，以及利率期限利差或收益率曲
线形态。它们之间的关系非常复杂且处于动态变化
中。本文拟深入研究美国货币政策周期和收益率曲
线与银行整体NIM的关系及影响，分析在同样环境
下银行之间NIM差异形成的原因，探讨银行业在升
息环境下的资产负债及NIM管理的实践和对策。
关键词：美联储利率；收益率曲线；净息差
一、美联储利率政策周期和收益率曲
线与银行业净息差的一般关系
 
美联储利率及收益率曲线是美国银行业净息差
的重要决定因素。一般观点认为，在央行升息周期
和收益率曲线陡峭期间利差扩大时，银行NIM会随
之上升。自20世纪80年代以来的数据表明，这三
者之间的关系大约可划分为两个阶段：在21世纪之
前，NIM与美联储利率相关性大约为-0.69；与10
年/3个月国债收益利差相关性大约为0.29；此后至
今，NIM与美联储利率相关性变为0.4的正相关 ..."
