年份,地区,指数
2005,全国,0.110
2006,全国,0.120
2007,全国,0.170
2008,全国,0.210
2009,全国,0.230
2010,全国,0.220
2011,全国,0.230
2012,全国,0.235
2013,全国,0.250
2014,全国,0.260
2015,全国,0.270
2016,全国,0.300
2005,东部,0.170
2006,东部,0.170
2007,东部,0.220
2008,东部,0.250
2009,东部,0.280
2010,东部,0.290
2011,东部,0.300
2012,东部,0.295
2013,东部,0.305
2014,东部,0.320
2015,东部,0.330
2016,东部,0.350
2005,中部,0.090
2006,中部,0.100
2007,中部,0.140
2008,中部,0.200
2009,中部,0.205
2010,中部,0.203
2011,中部,0.190
2012,中部,0.210
2013,中部,0.230
2014,中部,0.200
2015,中部,0.220
2016,中部,0.245
2005,西部,0.080
2006,西部,0.090
2007,西部,0.120
2008,西部,0.165
2009,西部,0.200
2010,西部,0.180
2011,西部,0.185
2012,西部,0.190
2013,西部,0.210
2014,西部,0.225
2015,西部,0.240
2016,西部,0.260
